topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,isbn,entropy
0.0019026763,0.0010191104,0.6778987,0.3163235,0.0015816467,0.0012743832,9788932043265,0.959763977055967
0.19139941,0.00029736906,0.53766257,0.2698073,0.00046151306,0.00037185577,9788932043388,1.4606530643810247
0.000741696,0.00039726682,0.3884507,0.609297,0.0006165532,0.00049677654,9788932043395,0.9896642027090374
0.32927525,0.0005472262,0.66762275,0.0010211631,0.00084928825,0.0006842986,9788932043470,0.9487950832256793
0.0010969777,0.00058756256,0.0011517395,0.7755277,0.22090128,0.0007347386,9788934910534,0.8016481466751159
0.0021813347,0.001168365,0.0022902288,0.0021802522,0.99071884,0.0014610238,9788934967316,0.09711650319785015
0.00128634,0.0006889886,0.0013505549,0.001285702,0.99452686,0.0008615704,9788934967330,0.06145524665860615
0.00063843606,0.00034195877,0.0006703072,0.0006381195,0.9972835,0.0004276146,9788934967347,0.033252368502266226
0.001344288,0.0007200267,0.0014113955,0.37167746,0.6239464,0.00090038317,9788934967354,0.998122203283351
0.0015549589,0.00083286624,0.0016325836,0.3666497,0.62828845,0.0010414873,9788934967361,1.0004625559501756
0.0017363341,0.1995812,0.0018230132,0.79425305,0.0014433707,0.0011629697,9788934967378,0.7854372796769407
0.0014079874,0.15754205,0.0014782753,0.38031748,0.45831117,0.0009430481,9788934967385,1.5030636375491913
0.0005257563,0.00028160526,0.0005520024,0.24887106,0.7494174,0.0003521434,9788934967392,0.8303061314065865
0.055174362,0.00036976597,0.0007248149,0.00069000974,0.9425786,0.0004623871,9788934967408,0.3351813535092848
0.0009262423,0.00049611327,0.0009724805,0.0009257827,0.99605894,0.0006203826,9788934967415,0.0461232319258637
0.0012593676,0.0006745416,0.0013222361,0.0012587426,0.9946416,0.0008435047,9788934967422,0.06033092719869234
0.0010042341,0.00053788733,0.001054366,0.0010037365,0.9957272,0.0006726205,9788934967439,0.0495073917419381
0.0010042626,0.0005379026,0.0010543958,0.12218583,0.874545,0.0006726396,9788934967446,0.5730638993579413
0.16358474,0.00016336246,0.000320223,0.14606446,0.6896629,0.00020428245,9788934967453,1.2106023369924155
0.0006249602,0.0003347408,0.0006561584,0.00062465016,0.99734086,0.0004185886,9788934967460,0.032632406831046824
0.0006982586,0.0003740009,0.0007331162,0.0006979124,0.997029,0.0004676828,9788934967477,0.03598366090037649
0.0012590945,0.00067439553,0.0013219494,0.00125847,0.9946428,0.000843322,9788934967484,0.06031947739183101
0.00034571285,0.0001851705,0.00036297098,0.16159736,0.83727723,0.00023155309,9788934967491,0.6526689057652227
0.0009408338,0.0005039289,0.0009878004,0.3671358,0.62980145,0.00063015596,9788934967507,0.9823745940615342
0.0014419955,0.00077236095,0.0015139808,0.0014412804,0.99386454,0.0009658264,9788934967583,0.06787775582215004
0.48548415,0.001497688,0.0029357658,0.0027947922,0.5054148,0.0018728375,9788936431150,1.0831058415158092
0.0010968962,0.00058751885,0.99557275,0.0010963521,0.00091182196,0.000734684,9788936431174,0.051101429282409586
0.6610985,0.00208461,0.32708487,0.0038900306,0.003235289,0.0026067751,9788936431204,1.0209106149550669
0.0006902362,0.00036970392,0.35755774,0.00068989384,0.16764924,0.47304314,9788936431273,1.4920460121107433
0.00084722845,0.0004537921,0.000889523,0.9965377,0.0007042797,0.00056746055,9788936431334,0.04118096717314379
0.004163863,0.0022302463,0.004371729,0.004161798,0.98228353,0.0027888913,9788936431419,0.16874872929469914
0.0006383574,0.0003419167,0.0006702246,0.0006380409,0.0005306505,0.9971808,9788936431518,0.03438534955892351
0.00071515894,0.00038305306,0.611137,0.15458427,0.2327015,0.0004790024,9788936431525,1.357127945632869
0.0052691367,0.97602284,0.005532175,0.0052665225,0.0043800995,0.0035291857,9788936433413,0.21846112946019144
0.0026705095,0.0014303771,0.0028038237,0.002669185,0.0022199275,0.9882062,9788936433505,0.11942067813637422
