isbn,author,author_url,book_url,author_id
9791190090261.0,천선란,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b2%9c%ec%84%a0%eb%9e%80@7303025&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=248956900,364.0
9791161571492.0,문미순,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%ac%b8%eb%af%b8%ec%88%9c@8274267&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329015526,2407.0
9791190174756.0,조예은,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ec%98%88%ec%9d%80@7210894&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=295437240,444.0
9788954638746.0,김멜라,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%a9%9c%eb%9d%bc@7508906&BranchType=1/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337111317,320.0
9791193282038.0,이설,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%84%a4@9738751&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=334082794,2408.0
9788956609959.0,정유정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%ec%9c%a0%ec%a0%95@80195&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=74920934,50.0
9791198363510.0,손원평,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%86%90%ec%9b%90%ed%8f%89@5615294&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318933239,383.0
9788937473852.0,장진영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9e%a5%ec%a7%84%ec%98%81@7976847&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=327282604,2409.0
9791167370280.0,정유정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%ec%9c%a0%ec%a0%95@80195&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=272252933,50.0
9788936434434.0,황석영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%99%a9%ec%84%9d%ec%98%81@52675&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=240581875,39.0
9791166839320.0,표창원,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%91%9c%ec%b0%bd%ec%9b%90@48040&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=346109782,2410.0
9791159258848.0,유린,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%a0%eb%a6%b0@9951016&BranchType=1/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=344517404,2411.0
9791198838841.0,차인표,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b0%a8%ec%9d%b8%ed%91%9c@151719&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=351645822,999.0
9791170611783.0,손보미,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%86%90%eb%b3%b4%eb%af%b8@1644738&BranchType=1/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345451920,307.0
9791190090018.0,김초엽,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%b4%88%ec%97%bd@6165280&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=193591681,318.0
9791160408331.0,조예은,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ec%98%88%ec%9d%80@7210894&BranchType=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=299460785,444.0
