author_id,author_name,author_url
98,박희종,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%b0%95%ed%9d%ac%ec%a2%85@7667268&BranchType=1
99,양귀자,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%96%91%ea%b7%80%ec%9e%90@26533&BranchType=1
100,서유미,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%84%9c%ec%9c%a0%eb%af%b8@301389&BranchType=1
101,김진명,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%a7%84%eb%aa%85@7398&BranchType=1
102,유진성,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%a0%ec%a7%84%ec%84%b1@7294661&BranchType=1
103,김훈,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%9b%88@8297&BranchType=1
104,이수연,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%88%98%ec%97%b0@6467203&BranchType=1
105,권혁일,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b6%8c%ed%98%81%ec%9d%bc@9875732&BranchType=1
106,김혜정,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ed%98%9c%ec%a0%95@8139&BranchType=1
107,김유진,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9c%a0%ec%a7%84@9898460&BranchType=1
108,강민영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b0%95%eb%af%bc%ec%98%81@8178728&BranchType=1
109,전건우,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%84%ea%b1%b4%ec%9a%b0@817589&BranchType=1
110,정수윤,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a0%95%ec%88%98%ec%9c%a4@2439334&BranchType=1
111,김민서,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%af%bc%ec%84%9c@9848799&BranchType=1
112,강진아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b0%95%ec%a7%84%ec%95%84@943702&BranchType=1
113,심너울,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%8b%ac%eb%84%88%ec%9a%b8@7178909&BranchType=1
114,현찬양,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ed%98%84%ec%b0%ac%ec%96%91@8274307&BranchType=1
115,최연주,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%b5%9c%ec%97%b0%ec%a3%bc@8057556&BranchType=1
116,이희영,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ed%9d%ac%ec%98%81@5572127&BranchType=1
117,리러하,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%a6%ac%eb%9f%ac%ed%95%98@8960071&BranchType=1
118,김봉철,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%eb%b4%89%ec%b2%a0@7675868&BranchType=1
119,조영주,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%a1%b0%ec%98%81%ec%a3%bc@2522101&BranchType=1
120,남궁인,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%82%a8%ea%b6%81%ec%9d%b8@5195018&BranchType=1
121,이종관,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%a2%85%ea%b4%80@7133692&BranchType=1
122,류시은,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%eb%a5%98%ec%8b%9c%ec%9d%80@6527043&BranchType=1
123,유영광,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9c%a0%ec%98%81%ea%b4%91@9423934&BranchType=1
124,이슬아,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%8a%ac%ec%95%84@6425447&BranchType=1
125,김이삭,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9d%b4%ec%82%ad@7284311&BranchType=1
126,이중세,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%9d%b4%ec%a4%91%ec%84%b8@5373930&BranchType=1
127,서미애,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ec%84%9c%eb%af%b8%ec%95%a0@20523&BranchType=1
128,김원우,https://www.aladin.co.kr/search/wsearchresult.aspx?AuthorSearch=%ea%b9%80%ec%9b%90%ec%9a%b0@8964970&BranchType=1
