isbn,title,publishDate,price,pageCount,size,weight,label,author_name_tf,publisher_name_tf
9791190847933,스파이 외전,515,17500,272,31500,354,1,1,1
9791190885362,가해자들,1646,15000,152,18928,225,1,2,38
9791190885621,내가 되는 꿈 (리커버),1523,15000,240,18928,240,1,17,38
9791190885713,바늘과 가죽의 시,1464,15000,192,18928,267,1,13,38
9791190908153,악몽을 먹고 자란 소년,1743,12000,16,57750,351,1,2,47
9791190908740,진짜 진짜 얼굴을 찾아서,1701,12000,24,57750,400,1,2,47
9791190999069,술과 농담,1488,18000,200,24000,248,1,7,2
9791191029055,한국추리문학상 황금펜상 수상작품집,1586,16000,368,27675,478,1,4,8
9791191029857,한국추리문학상 황금펜상 수상작품집 : 2023 제17회,500,17000,332,27675,432,1,1,8
9791191029963,마담 흑조는 곤란한 이야기를 청한다,360,15000,292,23500,292,1,1,8
9791191061048,언젠가 우리가 같은 별을 바라본다면,1230,12000,240,26800,388,1,4,2
9791191061987,인어 사냥,927,15000,272,24064,293,1,4,2
9791191071030,프리즘,1686,16800,268,27675,345,1,6,53
9791191114003,오빠가 돌아왔다,1671,10000,275,25344,358,1,13,9
9791191114065,빛의 제국,1071,12000,440,25344,477,1,13,9
9791191114072,나는 나를 파괴할 권리가 있다,1071,11500,176,25344,203,1,13,9
9791191114225,작별인사,1092,14000,308,24064,308,1,13,9
9791191114256,오직 두 사람,1029,13000,292,25344,322,1,13,9
9791191193053,"그날, 그곳에서",1550,13000,424,25600,551,1,3,39
9791191193114,재와 물거품,1428,13000,176,18200,123,1,2,39
9791191193138,밤에 찾아오는 구원자,1417,13000,304,25600,395,1,11,39
9791191193237,아홉수 가위,1291,13000,142,22914.38095,99,1,2,39
9791191193473,좀비즈 어웨이,1124,12000,178,18200,158,1,2,39
9791191193534,"도시, 청년, 호러",1064,16700,248,26650,322,1,1,39
9791191193671,영매 소녀,944,12000,236,18200,204,1,3,39
9791191193695,푸르게 빛나는,914,12000,192,18200,134,1,1,39
9791191193756,전력 질주,854,12000,190,18200,190,1,2,39
9791191193879,망각하는 자에게 축복을,739,16000,312,24960,406,1,1,39
9791191247381,스위처블 러브 스토리,611,15800,244,24064,244,1,5,1
9791191443202,마지막 외출,535,19000,696,24064,797,1,1,1
9791191587524,파견자들,563,19000,432,28350,562,1,8,1
9791191714074,가시고기 우리 아빠,1162,17000,360,27000,605,1,5,2
9791191714425,가시고기,433,17000,360,27000,468,1,5,2
9791191824001,지구 끝의 온실,1349,15000,392,24064,392,1,8,6
9791191824193,내게 남은 사랑을 드릴게요,819,15800,296,24064,384,1,9,6
9791191824216,이끼숲,725,15800,280,26595,364,1,11,6
9791191824308,작은 빛을 따라서,549,15800,288,24064,336,1,2,6
9791191824353,투 유,459,16800,268,24064,268,1,2,6
9791191824391,21세기 마지막 첫사랑,347,15800,268,24064,268,1,2,6
9791191826012,너도 하늘말나리야,1326,12500,212,27000,319,1,5,3
9791191826029,소희의 방,1326,13500,316,27000,376,1,5,3
9791191826036,숨은 길 찾기,1326,12500,212,27000,320,1,5,3
9791191842432,아무도 모를 것이다,829,17000,428,24960,430,1,12,4
9791191842517,한밤의 시간표,693,15800,260,24960,302,1,12,4
