isbn,title,publishDate,author_id,author_name,publisher_id,publisher_name,price,pageCount,size,weight,rating,shortReviewCount,fullReviewCount,records,label
9788971740415 ,소설 2015년,2007-09-10,1074,최선웅,333,아침,10000,224,33896,314,0,,,,0
9788971740491 ,깨진 어항에 아직도 금붕어가...,2013-03-15,1075,김덕중,333,아침,11000,304,33896,426,8,,1,,0
9788971842928 ,파경과 광경,2000-09-15,562,김정환,51,푸른숲,8500,298,33896,417,0,,,,0
9788971843178 ,우담바라 1,2001-06-10,1077,남지심,51,푸른숲,8500,338,33896,473,10,,1,,0
9788971844366 ,개,2005-07-12,64,김훈,51,푸른숲,13000,232,33896,418,8.3,17,82,,0
9788971998267 ,대장 김창수,2017-10-19,29,김탁환,34,돌베개,14500,460,29400,583,9.8,132,3,,0
9788972080633 ,모든것에 이별을 2,1997-02-25,201,한수산,334,삼진기획,6500,300,31080,390,0,,1,,0
9788972081098 ,상처 1,1999-09-13,908,임선영,334,삼진기획,7500,288,31080,374,0,,,,0
9788972081159 ,여자,1999-12-05,605,김정현,334,삼진기획,7500,280,31080,364,6,,2,,0
9788972323679 ,국가의 적 1,2001-11-24,526,김민수,335,명상,7500,334,33896,468,8,,1,,0
9788972438021 ,구국의 별 5성장군 김홍일,2020-08-15,1080,박경석,336,서문당,20000,508,33896,711,0,,,,0
9788972531548 ,제국의 신화 2,1995-09-01,1081,이철원,337,서적포,6000,288,31080,374,0,,,,0
9788972531555 ,제국의 신화 3,1995-09-01,1081,이철원,337,서적포,6000,288,31080,374,0,,,,0
9788972655411 ,최후의 밀서,2005-01-20,88,김성종,338,남도출판사,10000,441,33896,794,7.3,1,2,,0
9788972655466 ,봄은 오지 않을 것이다 1,2006-09-11,88,김성종,338,남도출판사,11000,381,33896,533,4.7,1,3,,0
9788972655732 ,피아노 살인,2013-08-05,88,김성종,338,남도출판사,16000,384,33896,538,0,,,,0
9788972671039 ,남자의 눈물 1,2001-10-15,1082,손종일,339,여울문학,8000,294,33896,412,0,,,,0
9788972708230 ,소설 대학.중용.주역,2006-10-13,1083,김영수,340,명문당,9500,374,32130,486,0,,,,0
9788972751519 ,메모리 익스체인지,2020-01-25,399,최정화,35,현대문학,11200,136,18928,210,8.7,4,17,,0
9788972752820 ,지붕 밑의 바이올린,2004-06-25,424,김채원,35,현대문학,9000,386,33896,540,0,,,,0
9788972753988 ,그곳이 어디든,2007-09-05,247,이승우,35,현대문학,9800,305,33896,427,9,4,5,,0
9788972756590 ,여인들과 진화하는 적들,2013-04-26,106,김숨,35,현대문학,13000,320,31080,430,7.8,5,5,,0
9788972757009 ,"퀼트, 퀼트",2014-06-20,1085,양선미,35,현대문학,13000,292,30015,380,8,,2,,0
9788972757306 ,세상에서 가장 사소한 복수,2014-12-10,459,방현희,35,현대문학,13000,320,33896,448,0,,,,0
9788972757399 ,괄호 속의 시간,2015-04-27,455,이강숙,35,현대문학,14000,528,30222,585,0,,,,0
9788972758952 ,거울 보는 남자,2018-06-25,253,김경욱,35,현대문학,11200,164,18928,241,9.3,2,7,,0
9788972758969 ,나는 자급자족한다,2018-06-22,345,오한기,35,현대문학,13000,376,30015,458,8.8,3,5,,0
9788972880943 ,미친 사랑의 노래,1998-12-08,424,김채원,58,작가정신,5000,86,31080,120,10,,1,,0
9788972881476 ,전갈자리에서 생긴 일,2001-03-07,258,이응준,58,작가정신,5500,115,33896,207,7,,2,,0
9788972881728 ,체리브라썸,2002-07-01,431,이청해,58,작가정신,7000,147,33896,206,2,,1,,0
9788972881889 ,나의 아름다운 이웃,2003-02-15,56,박완서,58,작가정신,8500,292,33896,409,7.7,,15,,0
9788972882800 ,아모르 파티,2006-05-10,596,송혜근,58,작가정신,7000,124,33896,174,0,,,,0
9788972883333 ,"사랑이라니, 선영아",2008-07-21,44,김연수,58,작가정신,9000,196,24064,196,8.5,8,21,,0
9788972885399 ,수박,2014-03-31,651,이은조,58,작가정신,12800,256,24064,350,8.4,1,10,,0
9788972885641 ,"빠레, 살라맛 뽀",2015-01-30,1049,한지수,58,작가정신,12800,276,24064,300,8.5,1,12,,0
9788972885818 ,이순신의 7년 1,2016-04-19,349,정찬주,58,작가정신,15000,328,28152,485,8.6,2,8,,0
9788972885825 ,이순신의 7년 2,2016-04-19,349,정찬주,58,작가정신,15000,320,28152,475,9,,2,,0
9788972926009 ,가루지기 타령 1,2001-08-10,1089,홍경호,341,행림출판사,7500,336,33896,470,0,,,,0
9788973223107 ,워싱턴 달동네,2009-08-25,694,이영묵,342,청조사,9800,224,33896,314,0,,,,0
9788973306060 ,날개.권태 외,1994-02-01,313,이상,343,하서출판사,5500,256,31080,333,0,,,,0
9788973306121 ,무정,1994-04-01,82,이광수,343,하서출판사,6000,430,31080,559,0,,,,0
9788973306411 ,혈의 누.귀의 성,1995-06-01,1095,이인직,343,하서출판사,5500,280,31080,364,6,,1,,0
9788973370054 ,여자의 남자 1,1993-12-01,1096,김한길,30,해냄,5300,314,31080,408,8,1,2,,0
9788973370351 ,무궁화 꽃이 피었습니다 1,1993-08-01,46,김진명,30,해냄,5000,286,31080,372,7.1,1,8,,0
9788973371280 ,아들과 함께 걷는 길,1996-11-29,91,이순원,30,해냄,5500,212,31080,276,10,,1,,0
9788973371891 ,소년 소녀를 만나다,1998-12-20,244,박청호,30,해냄,7500,286,24064,286,2,,2,,0
9788973372430 ,상실의 풍경,1999-04-20,15,조정래,30,해냄,7500,350,31080,455,0,,,,0
9788973372454 ,어떤 솔거의 죽음,1999-06-05,15,조정래,30,해냄,7500,340,31080,442,0,,,,0
9788973372461 ,마술의 손,1999-06-05,15,조정래,30,해냄,7500,330,31080,429,0,,,,0
9788973372478 ,유형의 땅,1999-07-15,15,조정래,30,해냄,7500,318,31080,413,10,,1,,0
9788973373109 ,장외인간,2010-10-30,200,이외수,30,해냄,15800,531,24064,743,8.5,2,2,,0
9788973375813 ,불타는 빙벽 1,2003-08-08,335,고원정,30,해냄,8000,254,33896,356,6,,1,,0
9788973376087 ,모델,2004-04-10,91,이순원,30,해냄,8500,183,27300,256,8,,1,,0
9788973376407 ,하비로,2004-12-15,1000,이인화,30,해냄,8500,361,33896,505,6.8,2,6,,0
9788973818495 ,모범 경작생,2005-07-10,1093,박영준,59,(주)태일소담출판사,5500,216,33896,302,0,,,,0
9788973990191 ,황금의 땅 4,1993-09-01,21,이원호,344,동녘라이프(친구미디어),5500,312,31080,406,0,,,,0
9788974099794 ,전쟁과 사랑,2021-08-29,1097,박도,345,눈빛,16000,387,33896,585,9,1,1,,0
9788974114855 ,의열단,2016-08-15,1098,표윤명,346,새문사,15000,450,31080,565,0,,,,0
9788974144531 ,민들레꽃 사랑,2005-12-09,1099,홍새라,347,푸른나무,8800,320,33896,448,9.5,,4,,0
9788974162528 ,그리울 홍영감,2020-06-10,1101,황훈,348,깊은샘,13000,169,28700,235,0,,,,0
9788974231668 ,불의 지문,2002-04-24,1103,정동주,349,우리문학사,8000,320,33896,448,0,,,,0
9788974241780 ,지옥의 호주,2021-12-10,1104,이병선,350,문학신문출판국,15000,255,34200,473,0,,,,0
9788974470708 ,항적 1,2000-07-01,1109,정호영,351,창작시대,7500,310,31080,403,9,,2,,0
9788974470968 ,나는 한국에서 왕처럼 살았소 1,2001-08-01,1110,김건,351,창작시대,7500,280,33896,392,0,,,,0
9788974472047 ,사임당 삶의 향기,2017-02-14,1113,안종선,351,창작시대,15000,359,33896,540,0,,,,0
9788974560232 ,활빈도 1,1993-11-01,33,김주영,36,문이당,5300,318,31080,445,0,,,,0
9788974560256 ,활빈도 3,1993-11-01,33,김주영,36,문이당,5300,318,31080,445,0,,,,0
9788974560959 ,꿈 1,1998-12-05,155,한승원,36,문이당,7000,288,31080,403,8,,1,,0
9788974561062 ,안으로의 여행,1999-07-05,367,송기원,36,문이당,8000,286,24064,400,8,,1,,0
9788974561413 ,또하나의 나,2000-07-25,367,송기원,36,문이당,8000,294,33896,529,8,,2,,0
9788974561482 ,천둥소리,2000-12-20,33,김주영,36,문이당,8800,366,33896,659,6,,1,,0
9788974561772 ,광야,2002-01-20,252,정찬,36,문이당,8500,333,33896,466,0,,,,0
9788974561826 ,나는 아주 오래 살 것이다,2002-04-20,247,이승우,36,문이당,8500,276,33896,386,8.7,,3,,0
9788974561994 ,객주 1,2003-01-15,33,김주영,36,문이당,9000,300,33896,420,10,2,2,,0
9788974562229 ,아제아제 바라아제,2003-05-30,155,한승원,36,문이당,9500,398,33896,557,10,1,,,0
9788974562427 ,물방울 하나 떨어지면,2004-01-10,35,김원일,36,문이당,9000,328,33896,459,10,,2,,0
9788974562717 ,흑산도 하늘 길,2005-03-30,155,한승원,36,문이당,9000,326,33896,456,10,1,2,,0
9788974562861 ,신들의 황혼,2005-07-30,670,고은주,36,문이당,9000,272,33896,381,0,,,,0
9788974563158 ,연리지가 있는 풍경,2005-11-24,478,김종성,36,문이당,9500,295,26656,413,0,,,,0
9788974563523 ,수상한 이웃,2006-12-11,277,김혜정,36,문이당,9500,295,33896,413,7.6,,5,,0
9788974563622 ,반야 1,2007-04-25,216,송은일,36,문이당,9800,336,33896,470,8.1,2,24,"멜로·로맨스 주간 1위, 소설/시/희곡 top100 5주",0
9788974563660 ,푸른 진주,2007-06-11,1117,양순석,36,문이당,9800,300,31080,390,0,,,,0
9788974564346 ,변신,2010-06-10,456,한차현,36,문이당,12500,464,33896,650,7.7,,20,,0
9788974564377 ,환영 혹은 몬스터,2010-08-25,495,신중선,36,문이당,10000,304,27000,395,0,,,,0
9788974564735 ,불의 여신 백파선,2013-06-25,480,이경희,36,문이당,11500,272,33896,375,7.7,,18,,0
9788974564742 ,매구 할매,2013-07-20,216,송은일,36,문이당,13000,384,31500,525,8.7,3,9,,0
9788974565091 ,반야 세트 - 전10권,2017-12-29,216,송은일,36,문이당,130000,3800,33896,5538,0,,,,0
9788974565275 ,꽁치가 숨쉬는 방,2020-02-10,1123,심강우,36,문이당,13000,228,33896,388,0,,,,0
9788974565329 ,포토타임,2020-10-26,1126,이중섭,36,문이당,13000,256,28000,400,10,1,2,,0
9788974565367 ,성북동 아버지,2021-05-25,1125,장은아,36,문이당,13500,272,29400,443,9.8,,10,,0
9788974565404 ,우주 끝에서 만나,2021-11-15,972,안지숙,36,문이당,14000,292,29400,462,9.8,2,9,,0
9788974565442 ,직박구리가 사는 은행나무,2022-07-25,1126,이중섭,36,문이당,14000,244,29400,400,10,,4,,0
9788974565534 ,백성 1부 1,2023-10-30,359,김동민,36,문이당,18000,392,34200,510,0,,,,0
9788974565787 ,백성 1~21 세트 - 전21권,2023-10-30,359,김동민,36,문이당,378000,8256,34200,10733,10,2,1,,0
9788974802004 ,람다성 1,1997-05-20,1131,박영호,353,문학과현실사,7000,370,31080,481,0,,,,0
9788974802981 ,그 남자의 겨울,2007-03-25,11,홍성순,353,문학과현실사,9500,243,33896,340,0,,,,0
9788974803773 ,용주골 나팔수,2014-07-25,1133,고옥귀,353,문학과현실사,12000,296,33896,414,0,,,,0
9788974862176 ,사신마곡 2,1999-09-27,1135,서효원,354,서울창작,6800,274,33896,384,0,,,,0
9788974863227 ,벽안금룡 1,2000-06-29,1138,아도인,354,서울창작,6800,274,31080,356,0,,,,0
9788974863302 ,무색의 검향 1,2000-07-01,1135,서효원,354,서울창작,6800,274,31080,356,6,,1,,0
9788974863340 ,축융세가 1,2000-08-05,1138,아도인,354,서울창작,6800,266,31080,346,0,,,,0
9788974863920 ,소야 1,2001-03-15,1137,제갈천,354,서울창작,7000,272,33896,381,0,,,,0
9788974863968 ,황금도 1,2001-04-06,1136,유소백,354,서울창작,7000,290,33896,406,0,,,,0
9788974866075 ,비맥 -상,1995-01-01,1141,박균,354,서울창작,5500,308,31080,400,0,,,,0
9788975271670 ,오영수의 어린 상록수,2001-06-15,1092,오영수,55,들녘,7500,160,21824,192,0,,,,0
9788975272639 ,미늘의 끝,2001-09-05,130,안정효,55,들녘,9000,438,33896,788,10,,1,,0
9788975275968 ,진실이 말소된 페이지 1,2008-01-18,683,손아람,55,들녘,9000,264,29400,343,7.2,1,5,,0
9788975277078 ,월요일이 없는 소년,2015-07-28,538,황희,55,들녘,13000,327,29400,430,8.5,9,8,,0
9788975278426 ,아이리스 IRIS 2,2009-11-18,1142,채우도,355,퍼플북스,11000,312,32560,406,8.4,5,5,,0
9788975279348 ,야수가 간다 3,2012-06-22,1143,이창욱,55,들녘,12000,365,31500,525,8,1,2,,0
9788975279539 ,라 트라비아타의 초상,2010-09-03,65,도진기,55,들녘,11900,320,28700,416,8.9,8,13,,0
9788975581816 ,천추태후와 남첩 1,2009-02-20,1144,신주현,356,선영사,12000,286,34875,543,0,,,,0
9788975581823 ,천추태후와 남첩 2,2009-03-10,1144,신주현,356,선영사,12000,279,34875,530,0,,,,0
9788975741173 ,마음이 아픈 사람은 인도로 가라 1,2000-01-01,1076,강태기,357,답게,7800,350,31080,455,0,,,,0
9788975986666 ,블루칩 시티,2008-04-05,1151,백은하,358,전남대학교출판부,9800,156,33896,218,0,,,,0
9788976081032 ,소설 마태우스,1997-01-21,1153,서민,360,장문산,6500,354,31080,460,6,,2,,0
9788976251367 ,업녀 1,2010-11-30,1155,이종학,361,백암,11000,337,33896,472,10,1,,,0
9788976251374 ,업녀 2,2010-11-30,1155,이종학,361,백암,11000,342,33896,479,10,1,,,0
9788976251619 ,흑색 태양 3,2017-01-25,1156,김파,361,백암,13500,336,33896,505,0,,,,0
9788976755100 ,경남소설 2008,2008-08-08,1158,경남소설가협회,362,경남,12000,323,33896,452,0,,,,0
9788977121300 ,땅과 흙 5,1998-07-05,624,이동희,363,빛샘(Vitsaem),8000,400,31080,520,0,,,,0
9788977192010 ,엽기적인 그녀 -전반전,2000-01-25,1161,김호식,364,시와사회,7000,272,31080,354,7.7,,6,,0
9788977284753 ,돌아오지 않는 밀사,2013-05-20,1163,이지숙,365,중원문화,15000,288,31080,374,0,,,,0
9788977286887 ,전사의 후예 3,2004-08-31,1137,제갈천,365,중원문화,8000,268,33896,375,0,,,,0
9788977288515 ,대통령의 뒷모습,2024-01-25,1164,김영권,365,중원문화,18000,314,33896,440,0,,,,0
9788977440395 ,다래,2014-07-30,865,이청,366,문화문고,15000,432,24064,432,0,,,,0
9788978145770 ,5분 18초,2011-05-15,1165,성준기,367,교음사,13000,409,33896,573,0,,,,0
9788978321983 ,페인트 공,2004-06-15,460,유익서,368,생각하는백성,10000,372,33896,521,0,,,,0
9788978720281 ,노래하라 더 이상 말하지 말라 2,1995-12-01,1167,문윤근,369,민예원,6500,296,31080,385,0,,,,0
9788978720342 ,사랑에 대한 세가지 생각,1997-10-15,700,이명인,369,민예원,7500,310,31080,403,0,,,,0
9788978785884 ,당신 손에 맡긴 영혼,2002-08-13,975,이규정,370,박이정,10000,336,33896,470,0,,,,0
9788979191110 ,그리운날의 수채화,1998-12-26,55,이수광,372,창해,7000,320,31080,416,0,,,,0
9788979192469 ,사랑의 사기꾼,2001-04-09,1173,김정일,372,창해,7500,288,33896,403,0,,,,0
9788979193015 ,해후,2001-09-26,749,채종인,372,창해,7500,286,33896,400,0,,,,0
9788979196917 ,다시 사랑한다 말할까,2005-08-27,234,서하진,372,창해,8000,232,26325,325,7,,2,,0
9788979196993 ,유리의 노래,2005-09-30,91,이순원,372,창해,8000,204,26460,286,0,,,,0
9788979197006 ,시간의 다리,2005-09-30,670,고은주,372,창해,8000,188,26460,263,0,,,,0
9788979211504 ,금요일은 아름다워,2011-08-20,1177,김미혜,373,해성,12000,456,33896,638,0,,,,0
9788979401172 ,어머니의 그림자 세트 - 전5권,2010-03-01,1179,조용배,374,신서원,135000,542,38400,813,0,,,,0
9788979401226 ,어머니의 그림자 5,2010-01-25,1179,조용배,374,신서원,27000,532,34875,1011,0,,,,0
9788979409772 ,어머니 품안에는,2006-09-25,611,윤석원,375,그림글자,9800,320,33896,448,0,,,,0
