topic_0,topic_1,topic_2,topic_3,topic_4,isbn
0.2814304,0.0005609619,0.11492433,0.15799858,0.44508573,9788932020761
0.0011907083,0.5093292,0.11306934,0.37489754,0.0015132403,9788932023144
0.3792564,0.000561092,0.17516965,0.3723379,0.07267498,9788932023939
0.0004103212,0.09969444,0.24385041,0.37506172,0.28098312,9788932026084
0.23465493,0.19100727,0.000325376,0.18409552,0.3899169,9788932026183
0.00072160206,0.00085454254,0.9966064,0.0009003199,0.00091706536,9788932028477
0.14938572,0.047043983,0.22238374,0.30536658,0.27581996,9788932028583
0.18798652,0.3628925,0.00026639682,0.23518117,0.21367346,9788932029290
0.11119507,0.52920157,0.178957,0.18010058,0.00054576085,9788932029832
0.99420816,0.0014714431,0.0011910443,0.0015502675,0.0015791017,9788932030050
0.19274272,0.23564257,0.06493648,0.25167626,0.25500193,9788932030098
0.0005181172,0.18320793,0.00049664767,0.43927452,0.37650278,9788932031064
0.31231302,0.0006021538,0.00048740712,0.2502826,0.43631482,9788932034645
0.4215169,0.18005669,0.00041170904,0.23841341,0.15960129,9788932039145
0.0009142541,0.0010826868,0.00087636954,0.20975855,0.7873681,9788932039510
0.0010150771,0.0012020844,0.38532907,0.27088436,0.3415694,9788932040912
0.0005084899,0.0006021688,0.00048741925,0.0006344266,0.9977675,9788932040967
0.0005083451,0.00060199737,0.0004872805,0.99775636,0.00064604264,9788932042039
0.001052679,0.0012466137,0.0010090584,0.9953539,0.0013378225,9788932043340
0.0003055403,0.6711098,0.00029287944,0.32790345,0.00038830328,9788932043388
0.28626037,0.30793297,0.00034678902,0.25849503,0.14696485,9788932043500
0.0024734023,0.6345606,0.0023709103,0.3574517,0.003143383,9788932312262
0.00080660946,0.0009552108,0.18322892,0.36940557,0.4456037,9788932322452
0.11194989,0.24931815,0.42783836,0.15227956,0.05861403,9788932921402
0.004475099,0.63150525,0.0042896615,0.0055834386,0.3541465,9788933801246
0.33966127,0.0011190517,0.34418994,0.0011789986,0.31385073,9788934955108
0.99744064,0.0006502046,0.00052630133,0.00068503566,0.00069777697,9788934967392
0.00091318536,0.0010814212,0.0008753451,0.99596953,0.0011605436,9788934967422
0.00072173664,0.0008547019,0.0006918296,0.0009004878,0.99683124,9788934967491
0.00033526483,0.00039703056,0.00032137227,0.45543462,0.5435117,9788934967507
0.0024677406,0.0029223715,0.0023654832,0.0030789212,0.9891655,9788934967576
0.29540324,0.00033597575,0.4167937,0.00035397377,0.28711307,9788934984900
0.14512293,0.00066388765,0.00053737697,0.31869343,0.5349824,9788935663330
0.0005720907,0.43910247,0.4703963,0.0007137793,0.089215375,9788935916689
0.28098843,0.14711054,0.35026646,0.22060974,0.0010248707,9788935916740
0.001703885,0.0020177912,0.99198705,0.002125883,0.0021654235,9788936431082
0.0008308482,0.0009839151,0.2363209,0.56996465,0.1918997,9788936433598
0.0013672066,0.0016190865,0.667389,0.00170582,0.32791898,9788936433642
0.14147803,0.0010144475,0.00082113396,0.0010687909,0.8556176,9788936433710
0.0033801708,0.0040028985,0.0032401045,0.46837342,0.52100337,9788936434014
0.00048195207,0.00057074195,0.4007363,0.5975985,0.0006125004,9788936434069
0.14495143,0.00030747076,0.11442277,0.30383837,0.43647996,9788936434212
0.10052215,0.2544015,0.24525176,0.16722937,0.23259524,9788936434229
0.23723565,0.00042284236,0.00034226535,0.27498937,0.4870099,9788936434267
0.1065118,0.234574,0.25909787,0.3990735,0.0007427829,9788936434298
0.00018337963,0.99917895,0.0001757808,0.00022879691,0.00023305241,9788936434311
0.00029579012,0.23961681,0.3921339,0.0003690479,0.36758444,9788936434342
0.00031961745,0.9985691,0.00030637326,0.00039877652,0.00040619358,9788936434434
0.00033935785,0.00040187765,0.9984041,0.000423406,0.00043128114,9788936434625
0.0003616294,0.00042825224,0.00034664432,0.99840385,0.00045958546,9788936434649
0.001706768,0.44646665,0.0016360434,0.0021294798,0.548061,9788936436827
0.0005387376,0.000637989,0.21462843,0.38069507,0.4034998,9788936437039
0.98598033,0.0035617475,0.0028830196,0.0037525482,0.003822344,9788936437305
0.18539087,0.32816863,0.00075140427,0.0009780304,0.48471105,9788936437312
0.0014376532,0.34613785,0.0013780802,0.64921933,0.0018270762,9788936437329
0.003010441,0.1840399,0.8053677,0.0037560314,0.0038258918,9788936437343
0.00050876965,0.20335734,0.00048768742,0.3991094,0.39653683,9788936437350
0.0005601737,0.28537637,0.0005369614,0.00069891085,0.7128276,9788936438074
0.00059720495,0.546645,0.14473341,0.12530082,0.18272358,9788936438227
0.0005840739,0.0006916776,0.00055987126,0.360644,0.6375204,9788936438401
0.00026693568,0.00031611315,0.0002558745,0.9988218,0.00033924164,9788936438487
0.46900985,0.00058094074,0.00047023644,0.16064097,0.36929798,9788936438678
0.0004992444,0.9977648,0.00047855687,0.0006228913,0.0006344768,9788936438739
0.0005180859,0.00061353267,0.00049661763,0.61995804,0.37841374,9788936438784
0.18658406,0.08443392,0.0005981025,0.49564642,0.23273747,9788936438791
0.99688065,0.0007924789,0.0006414638,0.00083493156,0.00085046084,9788936439088
0.0004579399,0.19363803,0.171669,0.41868803,0.215547,9788936439248
0.0002456929,0.2981448,0.1691381,0.27386442,0.25860694,9788936439460
0.00045777328,0.9979505,0.00043880424,0.0005711491,0.00058177224,9788936439538
0.00034354237,0.00040683305,0.0003293068,0.00042862687,0.9984917,9788936439583
0.00027227204,0.0003224326,0.00026098973,0.99879825,0.0003460235,9788936439675
0.1536575,0.28102398,0.00029293876,0.41331232,0.15171327,9788936439743
0.012766411,0.015118361,0.012237401,0.9436533,0.016224502,9788936456399
0.270808,0.20879367,0.0006923071,0.2701674,0.24953857,9788936474904
0.000856284,0.0010140368,0.0008208016,0.99622065,0.0010882291,9788936484118
0.00033547072,0.00039727436,0.45987645,0.12909627,0.4102945,9788936510923
0.0053388714,0.9760973,0.005117641,0.0066611394,0.0067850333,9788937209468
0.5298627,0.46155384,0.0023662806,0.0030799592,0.003137245,9788937403835
0.23835152,0.29005003,0.18917707,0.0009251484,0.2814962,9788937420535
0.0030080148,0.00356218,0.3709987,0.6186083,0.0038228082,9788937439209
0.16306894,0.14075257,0.20401596,0.14565217,0.34651038,9788937439742
0.0005382924,0.00063746184,0.99746853,0.0006716103,0.0006841019,9788937441943
0.6208287,0.0017963897,0.3735545,0.0018926213,0.0019278231,9788937442100
0.0016053824,0.0019011415,0.0015388592,0.0020029845,0.9929516,9788937442117
0.02383526,0.028226422,0.022847584,0.8947991,0.030291617,9788937442179
0.0007840957,0.19679186,0.22878361,0.21138558,0.36225492,9788937442193
0.00088394905,0.74414265,0.00084732025,0.2530027,0.001123388,9788937446023
0.26514673,0.45412272,0.27951685,0.00060127344,0.0006124568,9788937472213
0.0007412969,0.62793195,0.00071057933,0.3696741,0.00094209507,9788937472374
0.99869245,0.00033218032,0.0002688799,0.00034997502,0.00035648438,9788937473043
0.22113462,0.00077360834,0.7764465,0.00081505004,0.0008302096,9788937473081
0.9973348,0.00067709753,0.0005480696,0.0007133693,0.0007266376,9788937473098
0.1907437,0.00036581326,0.00029610374,0.49360093,0.31499347,9788937473128
0.0007220058,0.00085502065,0.60160226,0.15667541,0.24014534,9788937473210
0.99153197,0.0021513284,0.0017413704,0.002266574,0.002308731,9788937473289
0.0003871755,0.39940658,0.23059162,0.20293987,0.16667473,9788937473357
0.99744105,0.0006500979,0.000526215,0.00068492326,0.0006976625,9788937473401
0.0012438394,0.0014729915,0.29365957,0.25953707,0.44408655,9788937481079
0.39443716,0.22843851,0.00041822207,0.37615162,0.0005544841,9788937482908
0.05338801,0.40697992,0.12822787,0.0005045802,0.41089958,9788937486081
0.08376147,0.249992,0.15066782,0.14379044,0.3717883,9788937486333
0.4432602,0.23142664,0.032957688,0.102391966,0.18996353,9788937486418
0.98426634,0.0039971867,0.003235481,0.0042113136,0.004289642,9788939205642
0.0011901106,0.2870962,0.0011407952,0.0014848631,0.709088,9788939205673
0.25174424,0.34910756,0.100339346,0.29859015,0.00021867288,9788939230927
0.10155856,0.10627322,0.11519379,0.41091004,0.26606438,9788946473317
0.0007614995,0.0009017903,0.00072994473,0.996639,0.00096777,9788949123141
0.09695746,0.40235716,0.3419245,0.15812603,0.00063484587,9788950949716
0.039576065,0.2485817,0.000479203,0.34106943,0.37029362,9788950961176
0.0007034677,0.23290303,0.3196553,0.4458441,0.0008940189,9788950978754
0.00070326513,0.4810516,0.00067412347,0.16155657,0.35601443,9788950983611
0.39893588,0.17575805,0.0007725854,0.0010055999,0.42352793,9788950992071
0.0038467199,0.0045553995,0.98190975,0.00479943,0.0048886966,9788950995461
0.00072153436,0.9967696,0.00069163565,0.00090023543,0.00091697933,9788952738684
0.0020933873,0.0024790512,0.1990042,0.0026118525,0.7938115,9788952774972
0.2278913,0.21817385,0.001634848,0.0021279238,0.5501721,9788954400831
0.22791407,0.21812828,0.0016348482,0.002127924,0.5501949,9788954402934
0.089415655,0.18774138,0.0006922889,0.0009010856,0.7212496,9788954422376
0.00043638173,0.121852964,0.23946466,0.27154788,0.36669815,9788954428194
0.00033144475,0.12472496,0.3309754,0.2667057,0.27726245,9788954429948
0.2608992,0.18382543,0.0004054593,0.37347355,0.1813964,9788954438094
0.14883569,0.36806408,0.0005602867,0.48179716,0.00074283517,9788954438230
0.16281757,0.13089776,0.4328856,0.27297273,0.00042639847,9788954440202
0.2860175,0.29210997,0.00058521243,0.15199645,0.26929083,9788954444781
0.00068623974,0.43266317,0.26051798,0.0008561995,0.30527636,9788954446341
0.18988073,0.2402616,0.00038756334,0.15768337,0.41178674,9788954447300
0.0006694209,0.31559694,0.0006416816,0.3585035,0.32458845,9788954447317
0.25245968,0.00042842072,0.25149184,0.000451371,0.4951687,9788954447898
